;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
12120;603 572 059 002;75015;59 AVENUE FELIX FAURE;A;TERRASSE FERMEE;1.23;7.6;M LIU  (RESTAURANT);48.840529, 2.286768
12121;603 572 068 003;75015;15 RUE TISSERAND;A;TERRASSE OUVERTE;0.7;6.0;SARL BISTRO-CASA EUSEBIO  (RESTAURANT);48.840313, 2.284954
12125;603 572 121 003;75015;121 AVENUE FELIX FAURE;A;TERRASSE OUVERTE;1.2;5.0;M KHODJA  (RESTAURANT);48.83811, 2.281177
12127;603 572 150 002;75015;150 AVENUE FELIX FAURE;A;TERRASSE OUVERTE;1.2;3.8;SARL CHEZ OLIVIER  (RESTAURANT);48.837171, 2.278971
12128;603 574 001 003;75015;85 AVENUE FELIX FAURE;B;TERRASSE FERMEE;1.3;9.3;M SIMAO  (BAR RESTAURANT);48.83961, 2.284314
12129;604 758 165 002;75015;16 RUE DES FRERES MORANE;A;TERRASSE OUVERTE;4.4;10.6;SARL BATELYER  (RESTAURANT);48.841821, 2.291771
12130;605 391 274 002;75015;274 RUE LECOURBE;A;TERRASSE OUVERTE;0.8;3.0;M BOUAZA  (RESTAURANT);48.838561, 2.289011
12131;605 391 282 003;75015;282 RUE LECOURBE;A;TERRASSE OUVERTE;0.7;10.7;SAS SEDIA  (RESTAURANT);48.838313, 2.288096
12132;605 391 346 002;75015;39 RUE VASCO DE GAMA;B;TERRASSE OUVERTE;1.3;4.3;SARL LE DERRICK  (RESTAURANT);48.837025, 2.283585
12135;607 684 001 004;75015;10BOULEVARD VICTOR;B;TERRASSE FERMEE;0.6;12.75;SARL COQ NOIR  (RESTAURANT);48.834599, 2.283297
12136;607 684 001 004;75015;10 BOULEVARD VICTOR;B;TERRASSE OUVERTE;2.1;6.75;SARL COQ NOIR  (RESTAURANT);48.835843, 2.278501
12143;608 794 153 002;75015;153 RUE SAINT CHARLES;A;TERRASSE OUVERTE;1.2;4.2;SARL LUMIERE DE CHINE  (RESTAURANT);48.842573, 2.282164
12146;609 750 003 003;75015;Pan coupé 3 BOULEVARD VICTIR / RUE;A;TERRASSE FERMEE;3.1;13.3;SARL MEYLIWA  (RESTAURANT);48.835882, 2.279976
12152;610 567 078 004;75016;89 BOULEVARD DE MONTMORENCY;B;TERRASSE OUVERTE;0.6;27.0;SARL 78 RUE D AUTEUIL  (RESTAURANT);48.849103, 2.26097
12153;610 567 083 002;75016;83 RUE D'AUTEUIL;A;TERRASSE FERMEE;3.7;11.78;SNC SNC LE MURAT  (RESTAURANT);48.847884, 2.261738
12157;612 835 035 002;75016;35 RUE DU DOCTEUR BLANCHE;A;TERRASSE OUVERTE;0.6;1.0;SARL LE BRANDEVIN  (RESTAURANT);48.85367, 2.265401
12158;612 835 035 002;75016;29 RUE DE L'YVETTE;B;TERRASSE OUVERTE;1.73;2.55;SARL LE BRANDEVIN  (RESTAURANT);48.853797, 2.265717
12159;612 890 006 002;75016;Pan coupé 6 PLACE DU DOCTEUR PAUL MICHAUX / 4 RUE LIEUTENANT COLONEL DEPORT;A;TERRASSE OUVERTE;4.0;11.4;SNC TOULOUM  (RESTAURANT);
12167;613 488 131 002;75016;7 BOULEVARD MURAT;B;TERRASSE OUVERTE;1.5;13.7;SA ESPINASSE LES DEUX STATIONS SAS (RESTAURANT);48.847365, 2.258827
12173;615 168 081 002;75016;7 RUE BASTIEN LEPAGE;B;TERRASSE OUVERTE;0.6;9.0;SARL PIZZERIA D AUTEUIL  (RESTAURANT);48.848542, 2.265798
12175;615 436 049 002;75016;7 RUE GUDIN;B;TERRASSE OUVERTE;1.0;5.0;EURL LA BELIERE WELCOME  (RESTAURANT);48.83766, 2.259444
12180;616 247 120 002;75016;111 BOULEVARD MURAT;B;TERRASSE OUVERTE;1.2;15.9;SA CAFE RESTAURANT AUX 3 OBUS  (BAR RESTAURANT);48.838536, 2.257037
12181;616 247 131 002;75016;131 RUE MICHEL ANGE;A;TERRASSE FERMEE;1.3;7.0;SARL LE PALAIS DU BONHEUR  (RESTAURANT);48.839066, 2.257753
12188;616 566 109 003;75016;109 AVENUE MOZART;A;TERRASSE FERMEE;1.1;5.3;SARL MOZART 109  (RESTAURANT);48.851099, 2.267572
12191;616 578 025 002;75016;Pan coupé 25 BOULEVARD MURAT / 56 RUE MOLITOR;A;TERRASSE OUVERTE;3.5;5.2;SARL KING GEORGE  (RESTAURANT);48.845423, 2.257622
12192;616 578 025 002;75016;56 RUE MOLITOR;B;TERRASSE OUVERTE;1.5;2.6;SARL KING GEORGE  (RESTAURANT);48.845442, 2.257927
12196;617 680 005 002;75016;5 PLACE DE LA PORTE DE SAINT CLOUD;A;TERRASSE FERMEE;2.7;11.22;SARL LE CARDINAL  (RESTAURANT);48.837268, 2.25715
12197;617 680 005 002;75016;5 PLACE DE LA PORTE DE SAINT CLOUD;A;TERRASSE OUVERTE;0.6;12.0;SARL LE CARDINAL  (RESTAURANT);48.837268, 2.25715
12198;617 746 037 002;75016;37 RUE POUSSIN;A;TERRASSE OUVERTE;0.84;5.74;SARL FCH  (RESTAURANT);48.848395, 2.261127
12202;398 714 076 005;75010;76 BOULEVARD DE STRASBOURG;A;PLANCHER MOBILE;3.1;10.2;SARL LES TRAMWAYS DE L EST  (RESTAURANT);48.875771, 2.358327
12205;398 806 004 005;75010;4 BOULEVARD SAINT DENIS;A;TERRASSE OUVERTE;3.0;7.0;SARL MOUVI CANTAL LE PLOMB DU CANTAL RIVE DROITE (RESTAURANT);48.869222, 2.355214
12207;398 894 002 003;75010;2 RUE SAINT LAURENT;A;ETALAGE;0.3;1.6;SARL LE TASSILI  (BAR RESTAURANT);48.875447, 2.359119
12208;398 914 008 002;75010;8 BOULEVARD SAINT MARTIN;A;TERRASSE OUVERTE;1.5;6.3;SARL PARIS 10 L ENTRACTE (RESTAURANT);48.86866, 2.357889
12211;399 825 026 002;75010;26 RUE DES VINAIGRIERS;A;TERRASSE OUVERTE;0.8;4.75;M PIERQUIN  (RESTAURANT);48.873204, 2.362923
12213;399 825 044 004;75010;44 RUE DES VINAIGRIERS;A;TERRASSE OUVERTE;1.0;6.1;SARL HF  (BAR RESTAURANT);48.873227, 2.360787
12214;399 825 050 002;75010;50 RUE DES VINAIGRIERS;A;TERRASSE OUVERTE;1.1;7.3;SARL LA PAELLA  (RESTAURANT);48.873236, 2.360357
12215;399 983 003 002;75010;3 RUE YVES TOUDIC;A;TERRASSE FERMEE;0.9;7.05;EURL LOLLY  (RESTAURANT);48.869385, 2.364126
12217;401 374 027 005;75010;2 RUE DU CHALET;B;TERRASSE OUVERTE;1.0;16.0;SARL CHINATOWN BELLEVILLE  (RESTAURANT);48.873116, 2.374513
12218;402 092 003 002;75010;3 AVENUE CLAUDE VELLEFAUX;A;TERRASSE OUVERTE;0.6;16.0;SARL LA PISCINE SAINT LOUIS  (RESTAURANT);48.87415, 2.370264
12219;402 092 018 003;75010;18 AVENUE CLAUDE VELLEFAUX;A;TERRASSE OUVERTE;0.6;7.9;SAS AHLESLOUPS BIGBLINIS (RESTAURANT);48.873203, 2.370255
12220;402 225 005 005;75010;5 PLACE DU COLONEL FABIEN;A;TERRASSE OUVERTE;1.0;9.0;SARL CHEZ LAURENT  (BAR RESTAURANT);48.877702, 2.369952
12231;403 536 121 002;75010;121 RUE DU FAUBOURG SAINT ANTOINE;A;TERRASSE OUVERTE;1.0;1.8;SARL SOCIETE L.A.M.  (BAR RESTAURANT);48.851172, 2.377036
12236;403 544 208 002;75010;208 RUS DU FAUBOURG SAINT MARTIN;A;TERRASSE OUVERTE;0.6;5.8;SARL ALICIA LOUANN  (RESTAURANT);48.879725, 2.363551
12238;403 544 244 002;75010;244 RUE DU FAUBOURG SAINT MARTIN;A;TERRASSE OUVERTE;0.9;5.0;SARL EMMA  (RESTAURANT);48.882115, 2.366604
12239;403 544 264 002;75010;164 RUE DU FAUBOURG SAINT MARTIN;A;TERRASSE FERMEE;1.2;6.0;M FREDERIC LOULOUCAM EIRL (RESTAURANT);48.876888, 2.36128
12240;403 544 266 002;75010;266 RUE DU FAUBOURG SAINT MARTIN;A;TERRASSE OUVERTE;1.2;8.7;SAS LA GUINCHEUSE  (RESTAURANT);48.883162, 2.367918
12242;404 253 024 003;75010;24 RUE DE LA GRANGE AUX BELLES;A;TERRASSE OUVERTE;0.6;4.6;SARL RATIBA  (BAR RESTAURANT);48.876518, 2.368996
12245;405 778 049 002;75010;49 RUE LUCIEN SAMPAIX;A;TERRASSE OUVERTE;1.1;3.8;ASA L ATMOSPHERE  (RESTAURANT);48.874353, 2.362604
12246;408 922 188 004;75010;188 RUE SAINT MAUR;A;TERRASSE OUVERTE;0.9;4.0;SARL ERRAHMA  (RESTAURANT);48.871372, 2.37241
12251;409 627 163 002;75010;163 QUAI DE VALMY;A;TERRASSE OUVERTE;0.8;5.9;SARL DAMPIER LE P'TIT HUGO   (RESTAURANT);48.878784, 2.366269
12253;409 816 065 002;75010;Pan coupé 65 BOULEVARD DE LA VILLETTE / 27 RUE VICQ D AZIR;A;TERRASSE OUVERTE;0.9;4.5;SARL NATHAN & HUGO N & H (RESTAURATION RAPIDE - SNACK);48.876179, 2.371399
12254;409 816 065 002;75010;27 RUE VICQ D AZIR;B;TERRASSE OUVERTE;0.6;10.3;SARL NATHAN & HUGO N & H (RESTAURATION RAPIDE - SNACK);48.876179, 2.371399
12255;409 816 083 003;75010;83 BOULEVARD DE LA VILLETTE;A;TERRASSE OUVERTE;0.7;12.6;SARL LE PARTI  (RESTAURANT);48.877422, 2.370637
12257;410 828 001 003;75011;159 RUE OBERKAMPF;B;TERRASSE OUVERTE;0.8;7.4;SA MCDONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.866999, 2.382689
12260;410 828 079 003;75011;79 BOULEVARD DE BELLEVILLE;A;TERRASSE FERMEE;0.83;15.25;SARL BELLEVILLE IMPERIAL  (RESTAURANT);48.871763, 2.376986
12261;410 828 079 003;75011;20 RUE LOUIS BONNET;B;TERRASSE OUVERTE;0.6;8.0;SARL BELLEVILLE IMPERIAL  (RESTAURANT);48.871634, 2.376912
12270;413 536 120 005;75011;120 RUE DU FAUBOURG DU TEMPLE;A;ETALAGE;2.8;8.2;SARL CHEN MARKET  (RESTAURANT);48.871811, 2.376409
12271;413 731 002 003;75011;Pan coupé 2 RUE DE LA FONTAINE AU ROI / 114 RUE DE LA FOLIE MERICOURT;A;TERRASSE OUVERTE;1.2;1.8;SAS H M N S  (RESTAURANT);48.861249, 2.374999
12272;413 731 002 003;75011;2 RUE DE LA FONTAINE AU ROI;A;TERRASSE OUVERTE;1.2;3.4;SAS H M N S  (RESTAURANT);48.868571, 2.368404
12273;413 731 066 002;75011;66 RUE DE LA FONTAINE AU ROI;A;TERRASSE OUVERTE;0.8;5.8;SARL BUFALA CAFE  (RESTAURANT);48.868301, 2.374606
12277;414 837 044 002;75011;44 RUE JEAN PIERRE TIMBAUD;A;TERRASSE OUVERTE;0.6;10.0;SARL RESTAURANT ASTIER  (RESTAURANT);48.866239, 2.37199
12278;414 837 099 002;75011;99 RUE JEAN PIERRE TIMBAUD;A;ETALAGE;0.9;3.2;SARL LA COURONNE  (RESTAURATION RAPIDE - SNACK);48.868741, 2.379969
12279;414 837 099 003;75011;99 RUE JEAN PIERRE TIMBAUD;A;TERRASSE OUVERTE;1.5;7.0;SARL RUFIN PERE ET FILS  (RESTAURANT);48.868741, 2.379969
12282;415 896 054 004;75011;54 RUE DE MALTE;A;TERRASSE FERMEE;1.5;3.2;SARL LES FILLES  (RESTAURATION RAPIDE - SNACK);48.867568, 2.366279
12283;415 896 064 003;75011;64 RUE DE MALTE;A;TERRASSE OUVERTE;0.9;3.45;SARL THAI THIP  (RESTAURANT);48.867905, 2.365871
12285;416 802 105 002;75011;105 RUE OBERCAMPF;A;COMMERCE ACCESSOIRE;2.5;0.8;SARL LES CIMES  (RESTAURANT);48.86571, 2.377417
12286;416 802 133 002;75011;Pan coupé 133 RUE OBERKAMPF / 1 RUE MORET;A;TERRASSE OUVERTE;0.6;3.3;SARL OBERKAFE  (BAR RESTAURANT);48.866415, 2.380343
12288;416 991 098 002;75011;98 AVENUE PARMENTIER;A;TERRASSE OUVERTE;0.6;3.2;M TRAN Van (RESTAURANT);48.86617, 2.374052
12289;416 991 103 002;75011;103 AVENUE PARMENTIER;A;TERRASSE OUVERTE;0.8;8.8;SARL LINA  (RESTAURANT);48.866973, 2.373095
12293;416 991 129 002;75011;129 AVENUE PARMENTIER;A;TERRASSE OUVERTE;0.9;6.4;SARL APV RESTAURANTS  (RESTAURANT);48.869358, 2.371331
12294;417 417 020 005;75011;20 RUE DE LA PIERRE LEVEE;A;TERRASSE OUVERTE;0.6;4.2;SARL SOYA  (RESTAURATION RAPIDE - SNACK);48.868079, 2.370106
12295;417 417 020 005;75011;20 RUE DE LA PIERRE LEVEE;A;TERRASSE OUVERTE;0.6;6.6;SARL SOYA  (RESTAURATION RAPIDE - SNACK);48.868079, 2.370106
12296;418 146 008 003;75011;8 AVENUE DE LA REPUBLIQUE;A;TERRASSE OUVERTE;0.8;6.9;SARL AUCLAIR  (RESTAURANT);48.866645, 2.366482
12297;418 146 013 002;75011;13 AVENUE DE LA REPUBLIQUE;A;TERRASSE OUVERTE;1.8;7.0;SAS C-STORE  (RESTAURATION RAPIDE - SNACK);48.866594, 2.368333
12298;418 146 013 002;75011;Pan coupé 13 AVENUE DE LA REPUBLIQUE / 1 BOULEVARD JULES FERRY;A;TERRASSE OUVERTE;1.8;5.0;SAS C-STORE  (RESTAURATION RAPIDE - SNACK);48.867447, 2.367863
12299;418 146 013 002;75011;Pan coupé 1 BOULEVARD JULES FERRY / 13 AVENUE DE LA REPUBLIQUE;BA;ETALAGE;1.0;1.5;SAS C-STORE  (RESTAURATION RAPIDE - SNACK);48.867447, 2.367863
12301;468 318 011 004;75012;98 BOULEVARD DIDEROT;B;TERRASSE OUVERTE;3.0;11.09;SARL BISTRO DE PARIS  (RESTAURANT);48.846777, 2.382048
12303;469 113 004 004;75012;4 RUE TAINE;A;TERRASSE OUVERTE;1.6;4.1;SARL RFC RESTAURATION  (BAR RESTAURANT);48.837567, 2.391821
12304;469 462 004 004;75012;4 AVENUE DU TRONE;A;TERRASSE FERMEE;2.5;10.86;SAS FRANCE QUICK SAS  (RESTAURANT);48.847822, 2.397785
12310;470 872 015 007;75012;15 BOULEVARD DE BERCY;A;ETALAGE;0.6;9.0;EURL BERCY SUB  (RESTAURATION RAPIDE - SNACK);48.840329, 2.381476
12314;470 877 051 004;75012;51 RUE DE BERCY;A;CONTRE TERRASSE;5.0;5.0;SARL BIS REPETITA  (RESTAURANT);48.837262, 2.38265
12315;470 877 051 004;75012;51 RUE DE BERCY;A;TERRASSE OUVERTE;4.0;13.0;SARL BIS REPETITA  (RESTAURANT);48.837262, 2.38265
12316;470 877 102 002;75012;102 RUE DE BERCY;A;TERRASSE OUVERTE;3.5;13.6;SARL SDH  (BAR RESTAURANT);48.838882, 2.381123
12317;470 877 104 002;75012;2 RUE HENRI DESGRANGE;B;TERRASSE OUVERTE;1.0;6.0;SARL LA TERRASSE BERCY  (RESTAURANT);48.839154, 2.380843
12320;470 877 118 003;75012;118 RUE DE BERCY;A;TERRASSE OUVERTE;2.7;5.5;SARL WIREN  (RESTAURATION RAPIDE - SNACK);48.839832, 2.379868
12324;471 888 004 002;75012;4 RUE DU CHAROLAIS;A;TERRASSE OUVERTE;0.6;6.5;SARL AIGLE D OR  (RESTAURANT);48.839403, 2.387763
12328;472 578 096 004;75012;96 AVENUE DAUMESNIL;A;TERRASSE FERMEE;2.4;6.1;EURL CAVALINO  (RESTAURANT);48.843304, 2.383242
12331;473 905 040 002;75012;40 RUE GABRIEL LAME;A;TERRASSE OUVERTE;2.2;8.6;SA AUBERGE AVEYRONNAISE  (RESTAURANT);48.834841, 2.386013
12332;473 905 043 002;75012;43 RUE GABRIEL LAME;A;TERRASSE OUVERTE;1.4;7.7;SARL ZENDO  (RESTAURANT);48.834894, 2.385616
12333;474 520 015 002;75012;15 RUE HENRI DESGRANGE;A;TERRASSE OUVERTE;2.3;9.4;SARL M A A  (RESTAURANT);48.839661, 2.381689
12339;480 217 001 004;75012;1 PLACE D ALIGRE;A;TERRASSE OUVERTE;0.85;2.0;SARL CAFE D'AUJOURD'HUI  (RESTAURANT);48.849397, 2.377762
12346;480 218 023 003;75012;23 RUE D ALIGRE;A;TERRASSE OUVERTE;0.8;4.36;SARL ROOTS  (RESTAURANT);48.849951, 2.378803
12347;480 363 001 003;75012;8 RUE THEOPHILE ROUSSEL;B;TERRASSE OUVERTE;0.7;3.1;SARL LE SQUARE TROUSSEAU  (RESTAURANT);48.849967, 2.376658
12349;480 696 011 004;75012;11 BOULEVARD DE LA BASTILLE;A;TERRASSE OUVERTE;5.65;15.25;SARL LE GRAND BLEU  (RESTAURANT);48.847725, 2.367233
12350;480 696 034 002;75012;34 BOULEVARD DE LA BASTILLE;A;TERRASSE OUVERTE;2.0;5.8;M BERKANE  (RESTAURANT);48.850192, 2.368812
12351;480 696 050 002;75012;28 RUE BISCORNET;B;TERRASSE OUVERTE;1.25;7.96;SARL ROLLER CAFE  (BAR RESTAURANT);48.851501, 2.369498
12353;480 877 215 002;75012;13 RUE TRAVERSIERE;B;TERRASSE OUVERTE;1.15;6.25;SARL LE VERRE A VIN  (RESTAURANT);48.845783, 2.370629
12355;480 877 243 002;75012;243 RUE DE BERCY;A;TERRASSE OUVERTE;0.8;5.7;SAS LE CAFE FACE FOOD  (RESTAURATION RAPIDE - SNACK);48.847295, 2.368617
12358;481 799 053 002;75012;53 RUE DE CHARENTON;A;TERRASSE OUVERTE;1.0;5.8;SARL DE ARMAS EAT INTUITION  (RESTAURATION RAPIDE - SNACK);48.850874, 2.372902
12360;481 799 064 002;75012;76 AVENUE LEDRU ROLLIN;B;TERRASSE OUVERTE;1.8;3.9;SARL NO COMMENT  (RESTAURANT);48.84937, 2.374193
12362;481 799 099 003;75012;99 RUE DE CHARENTON;A;TERRASSE OUVERTE;0.8;5.3;SARL L HELICON CAFE  (RESTAURANT);48.847544, 2.377493
12363;481 799 135 003;75012;1 AVENUE DE CORBERA;B;TERRASSE OUVERTE;1.4;11.0;SAS MOME  (RESTAURANT);48.845485, 2.381155
12364;481 799 151 002;75012;151 RUE DE CHARENTON;A;TERRASSE FERMEE;1.2;6.0;SARL VILLAGE DE JADE  (RESTAURANT);48.845022, 2.382514
12365;481 799 152 005;75012;152 RUE DE CHARENTON;A;TERRASSE OUVERTE;0.8;3.0;SARL BENALLOU  (RESTAURATION RAPIDE - SNACK);48.845154, 2.381291
12368;482 464 008 002;75012;8 RUE CROZATIER;A;TERRASSE OUVERTE;1.25;3.5;SARL CLANDESTINO  (RESTAURANT);48.845673, 2.382776
12369;482 464 025 002;75012;25 RUE CROZATIER;A;TERRASSE OUVERTE;1.3;4.26;SARL SV12  (RESTAURANT);48.846575, 2.381701
12372;482 464 081 003;75012;81 RUE CROZATIER;A;TERRASSE OUVERTE;1.2;4.6;SARL OMS  (RESTAURATION RAPIDE - SNACK);48.850286, 2.378729
12373;482 578 032 002;75012;Pan coupé 32 AVENUE DAUMESNIL / 10 RUE LEGRAVEREND;A;TERRASSE FERMEE;0.8;3.66;SARL LE DEPART GT M MEZIANTBOUALEM (RESTAURANT);48.848751, 2.371941
12374;482 578 032 002;75012;32 AVENUE DAUMESNIL;A;TERRASSE OUVERTE;1.3;6.6;SARL LE DEPART GT M MEZIANTBOUALEM (RESTAURANT);48.84696, 2.375655
12375;482 578 032 002;75012;Pan coupé 32 AVENUE DAUMESNIL / 10 RUE LEGRAVEREND;A;TERRASSE OUVERTE;1.1;1.1;SARL LE DEPART GT M MEZIANTBOUALEM (RESTAURANT);48.848751, 2.371941
12377;482 814 019 003;75012;19 BOULEVARD DIDEROT;A;TERRASSE FERMEE;3.05;4.55;SA VESUVIO LYON  (RESTAURANT);48.845781, 2.37177
12381;482 814 041 003;75012;41 BOULEVARD DIDEROT;A;TERRASSE OUVERTE;2.3;7.0;SNC S.N.C. TRUONG  (BAR RESTAURANT);48.846506, 2.379123
12382;482 814 044 006;75012;44 BOULEVARD DIDEROT;A;TERRASSE OUVERTE;2.8;3.5;SARL MIYAKO  (RESTAURATION RAPIDE - SNACK);48.846235, 2.378393
12383;482 814 044 007;75012;44 BOULEVARD DIDEROT;A;TERRASSE OUVERTE;0.8;3.7;SARL TBB  (RESTAURANT);48.846235, 2.378393
12384;482 814 066 003;75012;66 BOULEVARD DIDEROT;A;TERRASSE OUVERTE;2.6;5.6;SARL BIENVENUE CHEZ LI  (RESTAURANT);48.846529, 2.380974
12387;482 814 080 003;75012;80 BOULEVARD DIDEROT;A;TERRASSE FERMEE;3.3;6.35;SAS MARC ET ANTOINE CRISTAL DONER (RESTAURATION RAPIDE - SNACK);48.84673, 2.382743
12388;482 814 084 003;75012;84 BOULEVARD DIDEROT;A;TERRASSE OUVERTE;0.6;6.2;EURL ABIRNA  (RESTAURANT);48.84678, 2.383179
12391;484 473 018 002;75012;18 PLACE HENRY FRENAY;A;TERRASSE OUVERTE;3.5;18.0;SARL LES NOUILLES DE YAN  (RESTAURANT);48.844945, 2.376762
12394;485 402 025 002;75012;25 AVENUE LEDRU ROLLIN;A;TERRASSE OUVERTE;2.15;1.4;SARL 2CO  (BAR RESTAURANT);48.847038, 2.369423
12396;485 402 028 002;75012;28 AVENUE LEDRU ROLLIN;A;TERRASSE FERMEE;1.9;4.6;M BOSSHARD  (RESTAURANT);48.84705, 2.370099
12400;524 161 052 003;75013;52 AVENUE DES GOBELINS;A;TERRASSE FERMEE;3.0;3.2;SARL VIK  (RESTAURANT);48.833932, 2.353525
12407;527 710 093 002;75013;93 BOULEVARD DE PORT ROYAL;A;TERRASSE OUVERTE;2.2;6.7;SARL LA TRAVERSEE DE PARIS  (RESTAURANT);48.838125, 2.342238
12419;532 667 029 004;75014;29 RUE DELAMBRE;A;TERRASSE OUVERTE;0.9;4.3;SARL LE BOURBONNAIS  (RESTAURANT);48.841426, 2.326638
12423;533 142 015 003;75014;15 BOULEVARD EDGAR QUINET;A;TERRASSE OUVERTE;3.2;8.96;EURL DALEA ME ROUCHET PICHOT YVETTE (RESTAURANT);48.841234, 2.324479
12425;533 924 015 003;75014;15 RUE DE LA GAITE;A;TERRASSE OUVERTE;0.6;2.0;SARL NOUVELLE AUX ILES MARQUISES  (RESTAURANT);48.840156, 2.324076
12426;533 924 022 005;75014;22 RUE DE LA GAITE;A;TERRASSE OUVERTE;0.9;7.45;SARL MAZAR KHAN  (RESTAURANT);48.839485, 2.323318
12428;533 924 032 002;75014;32 RUE DE LA GAITE;A;TERRASSE OUVERTE;0.8;4.3;SARL LE BON PARNASSE  (RESTAURANT);48.838911, 2.322847
12433;535 514 009 003;75014;9 RUE LEOPOLD ROBERT;A;TERRASSE FERMEE;0.7;3.45;SARL BEN TOUT COURT SUR LE FIL (RESTAURANT);48.840771, 2.330679
12437;535 850 097 002;75014;97 AVENUE DU MAINE;A;TERRASSE OUVERTE;1.45;7.2;SARL VIP CAFE  (BAR RESTAURANT);48.837026, 2.323369
12438;536 455 068 003;75014;68 BOULEVARD DU MONTPARNASSE;A;TERRASSE FERMEE;0.6;12.3;SA C/O GROUPE FLO SCE COMPTABILITE FOURNISSEURS (RESTAURANT);48.843401, 2.324718
12439;536 455 068 003;75014;Pan coupé 68 BOULEVARD DU MONTPARNASSE / 1 RUE DU DEPART;A;TERRASSE FERMEE;1.5;4.8;SA C/O GROUPE FLO SCE COMPTABILITE FOURNISSEURS (RESTAURANT);48.843401, 2.324718
12440;536 455 072 002;75014;72 BOUEVARD DU MONTPARNASSE;A;TERRASSE OUVERTE;3.5;9.3;SA INDIANA  (RESTAURANT);48.843309, 2.324986
12441;536 455 082 004;75014;82 BOULEVARD DU MONTPARNASSE;A;TERRASSE FERMEE;3.0;6.28;SARL BOIZARD RESTAURATION  (BOULANGERIE);48.843, 2.325899
12443;536 455 096 006;75014;96 BOULEVARD DU MONTPARNASSE;A;TERRASSE OUVERTE;2.2;4.6;SARL HOKI 16  (RESTAURATION RAPIDE - SNACK);48.842518, 2.327385
12444;536 455 106 003;75014;106 BOULEVARD DU MONTPARNASSE;A;TERRASSE FERMEE;3.0;10.2;SAS CHEZ CLEMENT  (RESTAURANT);48.842111, 2.328605
12445;536 455 106 003;75014;106 BOULEVARD DU MONTPARNASSE;A;TERRASSE OUVERTE;1.0;5.1;SAS CHEZ CLEMENT  (RESTAURANT);48.842111, 2.328605
12448;536 455 112 002;75014;Pan coupé 112 BOULEVARD DU MONTPARNASSE / 201 BOULEVARD RASPAIL;A;TERRASSE FERMEE;0.45;6.0;SAS MONTERRA LE BAR A HUITRES (RESTAURANT);48.841596, 2.330011
12451;587 018 024 002;75015;24 BOULEVARD PASTEUR;A;TERRASSE FERMEE;1.8;6.1;SARL LA SALLE A MANGER  (RESTAURANT);48.842503, 2.312479
12452;587 018 024 002;75015;24 BOULEVARD PASTEUR;A;TERRASSE OUVERTE;0.6;6.1;SARL LA SALLE A MANGER  (RESTAURANT);48.842503, 2.312479
12457;587 018 041 003;75015;41 BOULEVARD PASTEUR;A;TERRASSE OUVERTE;1.45;6.5;SARL MASK L EPICURISTE (RESTAURANT);48.842608, 2.313273
12458;587 018 059 003;75015;59 BOULEVARD PASTEUR;A;TERRASSE FERMEE;2.25;7.1;SARL CATESAN  (BAR RESTAURANT);48.84151, 2.314342
12460;587 018 065 002;75015;5 RUE MIZON;B;PLANCHER MOBILE;1.2;3.33;SARL LES BOUGNATS ASSOCIES  (RESTAURANT);48.841119, 2.314894
12470;588 728 163 002;75015;Pan coupé 163 AVENUE DE SUFFREN / 9 RUE BARTHELEMY;A;TERRASSE FERMEE;1.26;3.3;SARL GRAU CHR  (RESTAURANT);48.845759, 2.309896
12473;589 671 117 003;75015;117 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;0.6;1.6;SARL LES DOIGTS DANS LA BOUCHE  (RESTAURANT);48.844688, 2.318993
12475;589 671 139 003;75015;139 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;1.0;3.2;SARL SANTA ROSALIA  (RESTAURATION RAPIDE - SNACK);48.844219, 2.317103
12478;589 671 179 002;75015;179 RUE DE VAUGIRARD;A;TERRASSE FERMEE;1.1;9.0;SARL B.A.P.S.  (RESTAURANT);48.843072, 2.313327
12480;589 671 187 002;75015;187 RUE DE VAUGIRARD;A;TERRASSE FERMEE;4.2;4.53;SARL IAM PASTA CHERIE BAR  (RESTAURANT);48.842531, 2.311919
12482;589 671 218 002;75015;218 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;0.9;7.1;SARL MARCO ROMA  (RESTAURANT);48.840953, 2.305769
12484;589 671 227 003;75015;227 RUE DE VAUGIRARD;A;TERRASSE OUVERTE;0.7;7.0;SARL LES VOLONTAIRES  (BAR RESTAURANT);48.841483, 2.308175
12485;591 265 105 002;75015;105 QUAI BRANLY;A;TERRASSE OUVERTE;1.2;12.4;SA IOLANDA  (RESTAURANT);48.854589, 2.289159
12488;592 247 064 003;75015;64 RUE DU COMMERCE;A;ETALAGE;0.8;1.3;SARL VA BENE  (RESTAURATION RAPIDE - SNACK);48.845735, 2.29467
12489;592 247 093 003;75015;93 RUE DU COMMERCE;A;TERRASSE OUVERTE;0.7;3.5;SARL SETO  (RESTAURANT);48.843973, 2.293365
12493;592 452 058 002;75015;58 RUE DE LA CROIX NIVERT;A;TERRASSE OUVERTE;0.6;1.5;M FELEPPA  (RESTAURANT);48.845333, 2.297728
12495;592 727 019 003;75015;19 RUE DESAIX;A;TERRASSE OUVERTE;2.0;10.67;SARL PERSIA  (RESTAURANT);48.853604, 2.294001
